Sample	cm
Y4I_1a	1.4
 Y4I_1b	1.3
 Y4I_1b	1.2
Y4I_2a	1.3
Y4I_2b	1.2
Y4I_2c	1.25
Y4I_3a	1.4
 Y4I_3b	1.4
Y4I_3c	1.35
pgaR_1a	1
pgaR_1b 	0.8
 pgaR_1c 	0.7
pgaR_2a 	0.8
pgaR_2b 	0.7
pgaR_2c	0.7
pgaR_3a	0.8
pgaR_3b	0.8
pgaR_3c 	0.8
phaR_1a	1.4
phaR_1b	
phaR_1c	1.4
 phaR_2a 	1.5
 phaR_2b	1.4
phaR_2c 	1.4
phaR_3a	1.2
phaR_3b	
phaR_3c	1.3
phaI_1a	1.65
phaI_1b	1.45
phaI_1c	1.25
phaI_2a	1.25
phaI_2b	1.3
phaI_2c	1.2
phaI_3a	1.32
phaI_3b	
phaI_3c	1.7
igiD_1a	1.2
igiD_1b	1.2
igiD_1c	1.2
igiD_2a	1
igidD_2b	1.1
igiD_2c	1
igiD_3a	1.3
igiD_3b	1.2
igiD_3c	1.1
