Sample,Rep,cm
Y4I,1a,1.4
Y4I,1b,1.3
Y4I,1c,1.2
Y4I,2a,1.3
Y4I,2b,1.2
Y4I,2c,1.25
Y4I,3a,1.4
Y4I,3b,1.4
Y4I,3c,1.35
pgaR,1a,1
pgaR,1b,0.8
pgaR,1c,0.7
pgaR,2a,0.8
pgaR,2b,0.7
pgaR,2c,0.7
pgaR,3a,0.8
pgaR,3b,0.8
pgaR,3c,0.8
phaR,1a,1.4
phaR,1c,1.4
phaR,2a,1.5
phaR,2b,1.4
phaR,2c,1.4
phaR,3a,1.2
phaR,3c,1.3
phaI,1a,1.65
phaI,1b,1.45
phaI,1c,1.25
phaI,2a,1.25
phaI,2b,1.3
phaI,2c,1.2
phaI,3a,1.32
phaI,3c,1.7
igiD,1a,1.2
igiD,1b,1.2
igiD,1c,1.2
igiD,2a,1
igiD,2b,1.1
igiD,2c,1
igiD,3a,1.3
igiD,3b,1.2
igiD,3c,1.1
